"Velocity: Magnitude (m/s)","X (m)","Y (m)","Z (m)"
0.00596886753352999,0.138202,0.052524,0
0.00610344953522836,0.126912,0.0603625,0
0.00621592294381229,0.116083,0.068596,0
0.006313361346751,0.105709,0.0772365,0
0.00639756659604151,0.0957825,0.086295,0
0.00646868561822667,0.086295,0.0957825,0
0.006526994305185,0.0772365,0.105709,0
0.00657275765062127,0.068596,0.116083,0
0.00660423044079148,0.0603625,0.126912,0
0.00661359956799532,0.052524,0.138202,0
0.00658320594068404,0.0450685,0.1499585,0
0.00648126245253913,0.037983,0.162184,0
0.00626290914769216,0.031254,0.17488,0
0.00587056726269228,0.0248685,0.1880465,0
0.00523601472300032,0.0188135,0.20168,0
0.00407500508545787,0.17488,0.0248685,0
0.00444509712766064,0.162184,0.031254,0
0.00470508161763252,0.1499585,0.037983,0
0.00489111655137955,0.138202,0.0450685,0
0.00503151629265627,0.126912,0.052524,0
0.0051447788155995,0.116083,0.0603625,0
0.00524027021937826,0.105709,0.068596,0
0.00532068123895716,0.0957825,0.0772365,0
0.00538571980974151,0.086295,0.086295,0
0.00543501868885584,0.0772365,0.0957825,0
0.00546901187850691,0.068596,0.105709,0
0.00548800020920385,0.0603625,0.116083,0
0.00548871346526723,0.052524,0.126912,0
0.00546021485843189,0.0450685,0.138202,0
0.00538023408601664,0.037983,0.1499585,0
0.00521112696553886,0.031254,0.162184,0
0.00490386521661583,0.0248685,0.17488,0
0.00439713630293993,0.0188135,0.1880465,0
0.00362142644983098,0.013076,0.20168,0
0.00301767925513874,0.17488,0.0188135,0
0.003434882065132,0.162184,0.0248685,0
0.00372667458666386,0.1499585,0.031254,0
0.00393139892678435,0.138202,0.037983,0
0.00408085565763719,0.126912,0.0450685,0
0.00419702625954475,0.116083,0.052524,0
0.00429283740692881,0.105709,0.0603625,0
0.00437235284803856,0.0957825,0.068596,0
0.0044354432877943,0.086295,0.0772365,0
0.00448086095004845,0.0772365,0.086295,0
0.00450838917439683,0.068596,0.0957825,0
0.00451918129156242,0.0603625,0.105709,0
0.00451302524537263,0.052524,0.116083,0
0.00448446117467755,0.0450685,0.126912,0
0.00441865784332378,0.037983,0.138202,0
0.0042875739435015,0.031254,0.1499585,0
0.00404923782104081,0.0248685,0.162184,0
0.0036498364439612,0.0188135,0.17488,0
0.00302557950932745,0.013076,0.1880465,0
0.00210572366599807,0.0076425,0.20168,0
0.00205423051105804,0.17488,0.013076,0
0.00252426083362802,0.162184,0.0188135,0
0.00285330280465274,0.1499585,0.0248685,0
0.0030810758954013,0.138202,0.031254,0
0.00324245873844187,0.126912,0.037983,0
0.00336355762541038,0.116083,0.0450685,0
0.00346093624016555,0.105709,0.052524,0
0.00354119501713322,0.0957825,0.0603625,0
0.00360489979840288,0.086295,0.068596,0
0.00365025899515223,0.0772365,0.0772365,0
0.00367592263024601,0.068596,0.086295,0
0.0036829479394498,0.0603625,0.0957825,0
0.00367240397839676,0.052524,0.105709,0
0.00364318517599355,0.0450685,0.116083,0
0.00358672187599521,0.037983,0.126912,0
0.00348382536674117,0.031254,0.138202,0
0.00330031264579747,0.0248685,0.1499585,0
0.00298998777122643,0.0188135,0.162184,0
0.00249526125196532,0.013076,0.17488,0
0.00175001107891363,0.0076425,0.1880465,0
0.000684503335985222,0.0025,0.20168,0
0.00117596977613854,0.17488,0.0076425,0
0.00170475916520136,0.162184,0.013076,0
0.00207648314828803,0.1499585,0.0188135,0
0.00233183866332732,0.138202,0.0248685,0
0.00250827461566278,0.126912,0.031254,0
0.0026360287459906,0.116083,0.037983,0
0.00273570580300041,0.105709,0.0450685,0
0.00281719802355977,0.0957825,0.052524,0
0.00288273811031434,0.086295,0.0603625,0
0.00293037214966691,0.0772365,0.068596,0
0.00295780408597301,0.068596,0.0772365,0
0.00296492956606426,0.0603625,0.086295,0
0.00295314493645195,0.052524,0.0957825,0
0.00292388296801316,0.0450685,0.105709,0
0.00287397217991762,0.037983,0.116083,0
0.00279098559221228,0.031254,0.126912,0
0.00265036757357059,0.0248685,0.138202,0
0.00241287113317888,0.0188135,0.1499585,0
0.00202754378529243,0.013076,0.162184,0
0.00143370044653308,0.0076425,0.17488,0
0.000565244564576328,0.0025,0.1880465,0
0.00037548270112739,0.17488,0.0025,0
0.000967825316646654,0.162184,0.0076425,0
0.00138795594481381,0.1499585,0.013076,0
0.00167566777539918,0.138202,0.0188135,0
0.00187062808689789,0.126912,0.0248685,0
0.00200680017543434,0.116083,0.031254,0
0.0021092119977719,0.105709,0.037983,0
0.00219170437420951,0.0957825,0.0450685,0
0.00225904870727846,0.086295,0.052524,0
0.00230994888330448,0.0772365,0.0603625,0
0.002341382527752,0.068596,0.068596,0
0.00235171678911607,0.0603625,0.0772365,0
0.0023417982061211,0.052524,0.086295,0
0.00231408996075987,0.0450685,0.0957825,0
0.00226910808238254,0.037983,0.105709,0
0.00220080623280159,0.031254,0.116083,0
0.00209222392848906,0.0248685,0.126912,0
0.0019129468127678,0.0188135,0.138202,0
0.00161892380394928,0.013076,0.1499585,0
0.00115475721867467,0.0076425,0.162184,0
0.000459253502324192,0.0025,0.17488,0
0.000305762351796508,0.162184,0.0025,0
0.000779220494637021,0.1499585,0.0076425,0
0.00110470815308099,0.138202,0.013076,0
0.00132207411539704,0.126912,0.0188135,0
0.00146878168439324,0.116083,0.0248685,0
0.00157423918188424,0.105709,0.031254,0
0.00165719737249408,0.0957825,0.037983,0
0.00172535942466417,0.086295,0.0450685,0
0.00177919941343515,0.0772365,0.052524,0
0.00181536475361419,0.068596,0.0603625,0
0.00183085441249077,0.0603625,0.068596,0
0.0018256577069769,0.052524,0.0772365,0
0.00180155883785159,0.0450685,0.086295,0
0.0017612688754309,0.037983,0.0957825,0
0.00170377971213996,0.031254,0.105709,0
0.00161911941012337,0.0248685,0.116083,0
0.0014851906872361,0.0188135,0.126912,0
0.00126571669276243,0.013076,0.138202,0
0.000911709046300412,0.0076425,0.1499585,0
0.000366039181980689,0.0025,0.162184,0
0.000242701513562087,0.1499585,0.0025,0
0.000610744247850528,0.138202,0.0076425,0
0.000855323600420047,0.126912,0.013076,0
0.00101523485172694,0.116083,0.0188135,0
0.00112448086800338,0.105709,0.0248685,0
0.00120690071413458,0.0957825,0.031254,0
0.00127443475996224,0.086295,0.037983,0
0.00132984942346244,0.0772365,0.0450685,0
0.00137020480826532,0.068596,0.052524,0
0.00139179797493653,0.0603625,0.0603625,0
0.00139296563593677,0.052524,0.068596,0
0.00137453160899336,0.0450685,0.0772365,0
0.00133967409188988,0.037983,0.086295,0
0.00129058477678781,0.031254,0.0957825,0
0.00122358080549879,0.0248685,0.105709,0
0.00112420855299583,0.0188135,0.116083,0
0.000964340608356671,0.013076,0.126912,0
